Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Albany,Weekly,2020-01-13 00:00:00,Conventional,1.22760888,116738.3,4019.89,96152.64,205.88,16359.88,,,
Albany,Weekly,2020-01-13 00:00:00,Organic,1.814664013,1760.97,185.96,175.8,0.0,1399.22,,,
Atlanta,Weekly,2020-01-13 00:00:00,Conventional,0.924120831,756197.83,551153.18,94886.96,2526.53,107631.15,,,
Atlanta,Weekly,2020-01-13 00:00:00,Organic,1.422904674,29562.69,11106.05,10932.16,0.0,7524.48,,,
Baltimore/Washington,Weekly,2020-01-13 00:00:00,Conventional,1.337479669,827296.41,95768.26,450660.7,4451.67,276413.89,,,
Baltimore/Washington,Weekly,2020-01-13 00:00:00,Organic,1.52607412,49146.75,591.49,6223.36,16.05,42314.91,,,
Birmingham/Montgomery,Weekly,2020-01-13 00:00:00,Conventional,0.905432908,327373.83,253638.49,14608.57,1845.83,57280.94,,,
Birmingham/Montgomery,Weekly,2020-01-13 00:00:00,Organic,1.333146695,7969.99,604.86,897.28,0.0,6467.85,,,
Boise,Weekly,2020-01-13 00:00:00,Conventional,1.077148612,126614.63,64125.41,35761.22,11233.2,15494.81,,,
Boise,Weekly,2020-01-13 00:00:00,Organic,1.682162085,3657.43,575.79,1934.87,1.21,1145.55,,,
Boston,Weekly,2020-01-13 00:00:00,Conventional,1.386582955,576710.02,32814.04,414621.48,1305.03,127969.48,,,
Boston,Weekly,2020-01-13 00:00:00,Organic,1.571529,26206.89,168.55,2716.57,0.0,23321.76,,,
Buffalo/Rochester,Weekly,2020-01-13 00:00:00,Conventional,1.052076185,191259.77,9558.33,67283.34,325.74,114092.36,,,
Buffalo/Rochester,Weekly,2020-01-13 00:00:00,Organic,1.309457071,12294.92,525.34,151.73,0.0,11617.84,,,
