track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre
5Y2n6pW4Vqr4Mzkd9V4Uk8,Ray Of Solar,['Swedish House Mafia'],72,3qoGM4yHcw91XeCA6bC7Pb,Ray Of Solar,2023-08-04,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
4b93D55xv3YCH5mT4p6HPn,Ocean Drive,['Duke Dumont'],71,6AlOjPdNpM41lMVSjjsrUM,Duality,2020-04-17,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
0vZCG0H9KhtU7K8MEUVAoV,Tsunami,"['DVBBS', 'Borgeous']",65,7p38vlEZaMNySKQVSSWUm8,Tsunami,2013-09-02,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
6ho0GyrWZN3mhi9zVRW7xi,Losing It,['FISHER'],72,143cxYCazoiNfviHRmxkdv,Losing It,2018-07-13,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,['Peggy Gou'],86,2LVDNOUUy2g8517ZEtQIcK,(It Goes Like) Nanana [Edit],2023-06-15,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
5L2l7mI8J1USMzhsmdjat9,Red Lights,['Tiësto'],65,4SHlBT6B3kL8bdj6X2xHRp,A Town Called Paradise,2014-06-13,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,"['David Guetta', 'Anne-Marie', 'Coi Leray']",85,327tc3Eruk1HP1w62iqROy,Baby Don't Hurt Me,2023-04-06,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",82,22UyygZceCIfoE0RhENgKx,Miracle (with Ellie Goulding),2023-03-10,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),"['Avicii', 'Sandro Cavazza']",78,1m3mf7xkXIwssVriaaTjOS,AVĪCI (01),2017-08-10,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
5Z8Dj3LtbyCMiwE86rhg2f,Marea (we’ve lost dancing),"['Fred again..', 'The Blessed Madonna']",75,6o86bV7TAt5x4exc2qLDqC,Actual Life (April 14 - December 17 2020),2021-04-15,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),"['Jax Jones', 'MNEK']",75,5vSLX6JljaSXuRY2Wqi6xL,Where Did You Go (feat. MNEK),2022-02-04,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
3JhgPs7rbmzLBWRvHlel8U,Bad Memories,"['MEDUZA', 'James Carter', 'Elley Duhé', 'FAST BOY']",74,1ipPj2xEiVWibPm6V1LqEc,MEDUZA,2023-10-13,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
023H4I7HJnxRqsc9cqeFKV,I Got U,"['Duke Dumont', 'Jax Jones']",66,5U06Y2CHfkglWCTyqY98pN,I Got U,2014-01-01,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),"['Shouse', 'David Guetta']",76,2HYufzr6XUqSurRZdY0D9w,Love Tonight (David Guetta Remix),2021-06-11,EDM House Mix,37i9dQZF1EIdDyy28MYSyS,edm
