Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2022-01-10 00:00:00",Conventional,1.197219135,128471.98,36985.61,63879.66,985.34,26621.38,,,
Albany,Weekly,"2022-01-10 00:00:00",Organic,1.720818247,4070.15,326.14,416.71,0.00,3327.30,,,
Atlanta,Weekly,"2022-01-10 00:00:00",Conventional,1.191186617,778520.14,481850.11,151408.85,2196.57,143064.61,,,
Atlanta,Weekly,"2022-01-10 00:00:00",Organic,1.793456818,30088.87,3111.36,13858.49,0.00,13119.02,,,
Baltimore/Washington,Weekly,"2022-01-10 00:00:00",Conventional,1.263885667,1038853.67,336659.66,216044.44,10179.84,475969.73,,,
Baltimore/Washington,Weekly,"2022-01-10 00:00:00",Organic,1.754326356,62635.00,1177.94,7762.94,9.22,53684.91,,,
Birmingham/Montgomery,Weekly,"2022-01-10 00:00:00",Conventional,1.124395887,319031.21,195310.38,29546.78,3096.66,91077.39,,,
Birmingham/Montgomery,Weekly,"2022-01-10 00:00:00",Organic,1.510286148,13063.56,2234.78,900.68,0.00,9928.10,,,
Boise,Weekly,"2022-01-10 00:00:00",Conventional,1.332068863,114929.11,48607.05,24612.03,9845.40,31864.63,,,
Boise,Weekly,"2022-01-10 00:00:00",Organic,1.987093023,7310.39,1498.14,2316.56,1.22,3494.47,,,
Boston,Weekly,"2022-01-10 00:00:00",Conventional,1.542009814,640435.03,141688.65,339888.27,3291.19,155566.92,,,
Boston,Weekly,"2022-01-10 00:00:00",Organic,1.829078057,37018.87,369.14,2971.33,0.00,33678.39,,,
Buffalo/Rochester,Weekly,"2022-01-10 00:00:00",Conventional,1.363746305,194397.29,25920.55,53507.23,881.69,114087.82,,,
Buffalo/Rochester,Weekly,"2022-01-10 00:00:00",Organic,1.669309281,15687.83,1347.09,124.47,0.00,14216.27,,,
California,Weekly,"2022-01-10 00:00:00",Conventional,1.284474738,6192657.77,2760022.13,1402440.79,589395.59,1440799.27,,,
California,Weekly,"2022-01-10 00:00:00",Organic,1.948135102,268102.12,114451.41,31214.36,14.51,122421.85,,,
Charlotte,Weekly,"2022-01-10 00:00:00",Conventional,1.215315552,368090.41,168423.73,67064.84,6706.56,125895.28,,,
Charlotte,Weekly,"2022-01-10 00:00:00",Organic,1.479966694,25297.39,303.73,3343.03,16.94,21633.68,,,
